        Date        , GPU Core Clock [MHz] , GPU Core Clock [MHz] , GPU Temperature [°C] , Fan Speed (%) [%] , Fan Speed (RPM) [RPM] , Memory Used [MB] , GPU Load [%] , Memory Controller Load [%] , Video Engine Load [%] , Bus Interface Load [%] , Power Consumption [% TDP] , PerfCap Reason [] , VDDC [V] ,
2018-01-25 16:18:23 ,              135.0   ,              162.0   ,               37.0   ,              23   ,                1027   ,            296   ,          0   ,                        7   ,                   0   ,                    0   ,                     8.4   ,              16   , 0.8560   ,
2018-01-25 16:18:24 ,              135.0   ,              162.0   ,               37.0   ,              23   ,                1026   ,            296   ,          0   ,                        7   ,                   0   ,                    0   ,                     8.4   ,              16   , 0.8560   ,
2018-01-25 16:18:25 ,              135.0   ,              162.0   ,               37.0   ,              23   ,                1026   ,            296   ,          0   ,                        7   ,                   0   ,                    0   ,                     8.4   ,              16   , 0.8560   ,
2018-01-25 16:18:26 ,              135.0   ,              162.0   ,               37.0   ,              23   ,                1026   ,            296   ,          0   ,                        7   ,                   0   ,                    0   ,                     8.4   ,              16   , 0.8560   ,
2018-01-25 16:18:27 ,              135.0   ,              162.0   ,               37.0   ,              23   ,                1026   ,            296   ,          0   ,                        7   ,                   0   ,                    0   ,                     8.4   ,              16   , 0.8560   ,
2018-01-25 16:18:28 ,              135.0   ,              162.0   ,               37.0   ,              23   ,                1025   ,            296   ,          0   ,                        7   ,                   0   ,                    0   ,                     8.3   ,              16   , 0.8560   ,
2018-01-25 16:18:29 ,              135.0   ,              162.0   ,               37.0   ,              23   ,                1022   ,            296   ,          0   ,                        7   ,                   0   ,                    0   ,                     8.3   ,              16   , 0.8560   ,
2018-01-25 16:18:30 ,              135.0   ,              162.0   ,               37.0   ,              23   ,                1021   ,            296   ,          0   ,                        7   ,                   0   ,                    0   ,                     8.3   ,              16   , 0.8560   ,
2018-01-25 16:18:31 ,              135.0   ,              162.0   ,               36.0   ,              23   ,                1021   ,            296   ,          0   ,                        7   ,                   0   ,                    0   ,                     8.4   ,              16   , 0.8560   ,
2018-01-25 16:18:32 ,              135.0   ,              162.0   ,               36.0   ,              23   ,                1021   ,            296   ,          0   ,                        7   ,                   0   ,                    0   ,                     8.3   ,              16   , 0.8560   ,
2018-01-25 16:18:33 ,              135.0   ,              162.0   ,               36.0   ,              23   ,                1021   ,            296   ,          0   ,                        7   ,                   0   ,                    0   ,                     8.4   ,              16   , 0.8560   ,
2018-01-25 16:18:34 ,              135.0   ,              162.0   ,               36.0   ,              23   ,                1021   ,            296   ,          0   ,                        7   ,                   0   ,                    0   ,                     8.3   ,              16   , 0.8560   ,
2018-01-25 16:18:35 ,              135.0   ,              162.0   ,               36.0   ,              23   ,                1018   ,            296   ,          0   ,                        7   ,                   0   ,                    0   ,                     8.4   ,              16   , 0.8560   ,
2018-01-25 16:18:36 ,              135.0   ,              162.0   ,               36.0   ,              23   ,                1018   ,            296   ,          0   ,                        7   ,                   0   ,                    0   ,                     8.4   ,              16   , 0.8560   ,
2018-01-25 16:18:37 ,              135.0   ,              162.0   ,               36.0   ,              23   ,                1017   ,            296   ,          0   ,                        7   ,                   0   ,                    0   ,                     8.3   ,              16   , 0.8560   ,
2018-01-25 16:18:38 ,              135.0   ,              162.0   ,               36.0   ,              23   ,                1018   ,            296   ,          0   ,                        7   ,                   0   ,                    0   ,                     8.4   ,              16   , 0.8560   ,
2018-01-25 16:18:39 ,              135.0   ,              162.0   ,               36.0   ,              23   ,                1014   ,            296   ,          0   ,                        7   ,                   0   ,                    0   ,                     8.4   ,              16   , 0.8560   ,
2018-01-25 16:18:40 ,              135.0   ,              162.0   ,               36.0   ,              23   ,                1014   ,            296   ,          0   ,                        7   ,                   0   ,                    0   ,                     8.3   ,              16   , 0.8560   ,
2018-01-25 16:18:41 ,              135.0   ,              162.0   ,               36.0   ,              23   ,                1013   ,            296   ,          0   ,                        7   ,                   0   ,                    0   ,                     8.4   ,              16   , 0.8560   ,
2018-01-25 16:18:42 ,              135.0   ,              162.0   ,               36.0   ,              23   ,                1013   ,            296   ,          0   ,                        7   ,                   0   ,                    0   ,                     8.4   ,              16   , 0.8560   ,
2018-01-25 16:18:43 ,              135.0   ,              162.0   ,               36.0   ,              23   ,                1013   ,            296   ,          0   ,                        7   ,                   0   ,                    0   ,                     8.4   ,              16   , 0.8560   ,
2018-01-25 16:18:44 ,              135.0   ,              162.0   ,               36.0   ,              23   ,                1011   ,            296   ,          0   ,                        7   ,                   0   ,                    0   ,                     8.4   ,              16   , 0.8560   ,
2018-01-25 16:18:45 ,              135.0   ,              162.0   ,               36.0   ,              23   ,                1009   ,            296   ,          0   ,                        7   ,                   0   ,                    0   ,                     8.4   ,              16   , 0.8560   ,
2018-01-25 16:18:46 ,              135.0   ,              162.0   ,               36.0   ,              23   ,                1009   ,            296   ,          0   ,                        7   ,                   0   ,                    0   ,                     8.3   ,              16   , 0.8560   ,
2018-01-25 16:18:47 ,              135.0   ,              162.0   ,               36.0   ,              23   ,                1009   ,            296   ,          0   ,                        7   ,                   0   ,                    0   ,                     8.4   ,              16   , 0.8560   ,
2018-01-25 16:18:48 ,              135.0   ,              162.0   ,               36.0   ,              23   ,                1008   ,            296   ,          0   ,                        7   ,                   0   ,                    0   ,                     8.4   ,              16   , 0.8560   ,
2018-01-25 16:18:49 ,              135.0   ,              162.0   ,               36.0   ,              23   ,                1005   ,            296   ,          0   ,                        7   ,                   0   ,                    0   ,                     8.4   ,              16   , 0.8560   ,
2018-01-25 16:18:50 ,              135.0   ,              162.0   ,               36.0   ,              23   ,                1005   ,            296   ,          0   ,                        7   ,                   0   ,                    0   ,                     8.4   ,              16   , 0.8560   ,
2018-01-25 16:18:51 ,              135.0   ,              162.0   ,               36.0   ,              23   ,                1005   ,            296   ,          0   ,                        7   ,                   0   ,                    0   ,                     8.4   ,              16   , 0.8560   ,
2018-01-25 16:18:52 ,              135.0   ,              162.0   ,               36.0   ,              23   ,                1005   ,            296   ,          0   ,                        7   ,                   0   ,                    0   ,                     8.4   ,              16   , 0.8560   ,
2018-01-25 16:18:53 ,              135.0   ,              162.0   ,               35.0   ,              23   ,                1004   ,            296   ,          0   ,                        7   ,                   0   ,                    0   ,                     8.3   ,              16   , 0.8560   ,
2018-01-25 16:18:54 ,              135.0   ,              162.0   ,               35.0   ,              23   ,                1001   ,            296   ,          0   ,                        8   ,                   0   ,                    0   ,                     8.3   ,              16   , 0.8560   ,
2018-01-25 16:18:55 ,              135.0   ,              162.0   ,               35.0   ,              23   ,                1001   ,            296   ,          0   ,                        8   ,                   0   ,                    0   ,                     8.4   ,              16   , 0.8560   ,
2018-01-25 16:18:56 ,              135.0   ,              162.0   ,               35.0   ,              23   ,                1001   ,            296   ,          0   ,                        8   ,                   0   ,                    0   ,                     8.3   ,              16   , 0.8560   ,
2018-01-25 16:18:57 ,              135.0   ,              162.0   ,               35.0   ,              23   ,                1001   ,            296   ,          0   ,                        8   ,                   0   ,                    0   ,                     8.4   ,              16   , 0.8560   ,
2018-01-25 16:18:58 ,              135.0   ,              162.0   ,               35.0   ,              23   ,                 998   ,            296   ,          0   ,                        8   ,                   0   ,                    0   ,                     8.4   ,              16   , 0.8560   ,
2018-01-25 16:18:59 ,              135.0   ,              162.0   ,               35.0   ,              23   ,                 997   ,            296   ,          0   ,                        8   ,                   0   ,                    0   ,                     8.4   ,              16   , 0.8560   ,
2018-01-25 16:19:00 ,              135.0   ,              162.0   ,               35.0   ,              23   ,                 997   ,            296   ,          0   ,                        8   ,                   0   ,                    0   ,                     8.4   ,              16   , 0.8560   ,
2018-01-25 16:19:01 ,              135.0   ,              162.0   ,               35.0   ,              23   ,                 997   ,            296   ,          0   ,                        7   ,                   0   ,                    0   ,                     8.4   ,              16   , 0.8560   ,
2018-01-25 16:19:02 ,              135.0   ,              162.0   ,               35.0   ,              23   ,                 995   ,            296   ,          0   ,                        7   ,                   0   ,                    0   ,                     8.4   ,              16   , 0.8560   ,
2018-01-25 16:19:03 ,              135.0   ,              162.0   ,               35.0   ,              23   ,                 993   ,            296   ,          0   ,                        7   ,                   0   ,                    0   ,                     8.4   ,              16   , 0.8560   ,
2018-01-25 16:19:04 ,              135.0   ,              162.0   ,               35.0   ,              23   ,                 993   ,            296   ,          0   ,                        7   ,                   0   ,                    0   ,                     8.4   ,              16   , 0.8560   ,
2018-01-25 16:19:05 ,              135.0   ,              162.0   ,               35.0   ,              23   ,                 992   ,            296   ,          0   ,                        7   ,                   0   ,                    0   ,                     8.4   ,              16   , 0.8560   ,
2018-01-25 16:19:06 ,              135.0   ,              162.0   ,               35.0   ,              23   ,                 992   ,            296   ,          0   ,                        7   ,                   0   ,                    0   ,                     8.4   ,              16   , 0.8560   ,
2018-01-25 16:19:07 ,              135.0   ,              162.0   ,               35.0   ,              23   ,                 990   ,            296   ,          0   ,                        7   ,                   0   ,                    0   ,                     8.4   ,              16   , 0.8560   ,
2018-01-25 16:19:08 ,              135.0   ,              162.0   ,               35.0   ,              23   ,                 989   ,            296   ,          0   ,                        7   ,                   0   ,                    0   ,                     8.4   ,              16   , 0.8560   ,
2018-01-25 16:19:09 ,              135.0   ,              162.0   ,               35.0   ,              23   ,                 988   ,            296   ,          0   ,                        7   ,                   0   ,                    0   ,                     8.4   ,              16   , 0.8560   ,
2018-01-25 16:19:10 ,              135.0   ,              162.0   ,               35.0   ,              22   ,                 988   ,            296   ,          0   ,                        7   ,                   0   ,                    0   ,                     8.3   ,              16   , 0.8560   ,
2018-01-25 16:19:11 ,              135.0   ,              162.0   ,               35.0   ,              22   ,                 987   ,            296   ,          0   ,                        7   ,                   0   ,                    0   ,                     8.3   ,              16   , 0.8560   ,
2018-01-25 16:19:12 ,              135.0   ,              162.0   ,               35.0   ,              22   ,                 985   ,            296   ,          0   ,                        7   ,                   0   ,                    0   ,                     8.4   ,              16   , 0.8560   ,
2018-01-25 16:19:13 ,              135.0   ,              162.0   ,               35.0   ,              22   ,                 984   ,            296   ,          0   ,                        7   ,                   0   ,                    0   ,                     8.4   ,              16   , 0.8560   ,
2018-01-25 16:19:14 ,              135.0   ,              162.0   ,               35.0   ,              22   ,                 984   ,            296   ,          0   ,                        7   ,                   0   ,                    0   ,                     8.3   ,              16   , 0.8560   ,
2018-01-25 16:19:15 ,              135.0   ,              162.0   ,               35.0   ,              22   ,                 983   ,            296   ,          0   ,                        7   ,                   0   ,                    0   ,                     8.3   ,              16   , 0.8560   ,
2018-01-25 16:19:16 ,              135.0   ,              162.0   ,               35.0   ,              22   ,                 980   ,            296   ,          0   ,                        7   ,                   0   ,                    0   ,                     8.4   ,              16   , 0.8560   ,
2018-01-25 16:19:17 ,              135.0   ,              162.0   ,               35.0   ,              22   ,                 980   ,            296   ,          0   ,                        7   ,                   0   ,                    0   ,                     8.4   ,              16   , 0.8560   ,
2018-01-25 16:19:18 ,              135.0   ,              162.0   ,               35.0   ,              22   ,                 980   ,            296   ,          0   ,                        7   ,                   0   ,                    0   ,                     8.4   ,              16   , 0.8560   ,
2018-01-25 16:19:19 ,              135.0   ,              162.0   ,               35.0   ,              22   ,                 980   ,            296   ,          0   ,                        7   ,                   0   ,                    0   ,                     8.4   ,              16   , 0.8560   ,
